Band gap,Density(g/cm^3),ID,Space Group No,Volume(A^3/atoms),ave:atomic_number,ave:en_pauling,ave:first_ion_en,ave:mendeleev_number,ave:num_d_unfilled,ave:num_d_valence,ave:num_f_unfilled,ave:num_f_valence,ave:num_p_unfilled,ave:num_p_valence,ave:num_s_unfilled,ave:num_s_valence,ave:num_unfilled,ave:num_valance,ave:period,max:atomic_number,max:en_pauling,max:first_ion_en,max:mendeleev_number,max:num_d_unfilled,max:num_d_valence,max:num_f_unfilled,max:num_f_valence,max:num_p_unfilled,max:num_p_valence,max:num_s_unfilled,max:num_s_valence,max:num_unfilled,max:num_valance,max:period,min:atomic_number,min:en_pauling,min:first_ion_en,min:mendeleev_number,min:num_d_unfilled,min:num_d_valence,min:num_f_unfilled,min:num_f_valence,min:num_p_unfilled,min:num_p_valence,min:num_s_unfilled,min:num_s_valence,min:num_unfilled,min:num_valance,min:period,var:atomic_number,var:en_pauling,var:first_ion_en,var:mendeleev_number,var:num_d_unfilled,var:num_d_valence,var:num_f_unfilled,var:num_f_valence,var:num_p_unfilled,var:num_p_valence,var:num_s_unfilled,var:num_s_valence,var:num_unfilled,var:num_valance,var:period,Flag
0.0,6.050097202468664,mp-21192,141,19.52542997004176,30.666666666666664,1.6666666666666663,7.484386666666667,65.66666666666666,3.0,0.3333333333333333,2.333333333333333,2.333333333333333,2.6666666666666665,1.3333333333333333,0.0,2.0,8.0,6.0,4.0,64.0,1.9,8.15168,85.0,9.0,1.0,7.0,7.0,4.0,2.0,0.0,2.0,16.0,10.0,6.0,14.0,1.2,6.1498,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,3.0,555.5555555555555,0.1088888888888888,0.8905607854222228,747.5555555555555,18.0,0.2222222222222222,10.88888888888889,10.88888888888889,3.555555555555556,0.8888888888888888,0.0,0.0,32.0,8.0,2.0,False
0.0,16.280445552674024,mp-1025526,59,19.52881527410947,77.0,2.05,8.2756125,57.5,2.25,7.75,0.0,14.0,0.0,0.0,0.75,1.25,3.0,23.0,6.0,79.0,2.4,9.22553,70.0,9.0,10.0,0.0,14.0,0.0,0.0,1.0,2.0,9.0,25.0,6.0,71.0,1.0,5.42586,20.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0,1.0,17.0,6.0,12.0,0.3674999999999999,2.7070297704187487,468.75,15.1875,15.1875,0.0,0.0,0.0,0.0,0.1875,0.1875,12.0,12.0,0.0,False
1.5327000000000002,1.9546714059835213,mp-866066,167,20.01477092408321,11.6,2.364,9.535214,90.8,0.0,0.0,0.0,0.0,3.2,2.8,0.0,2.0,3.2,4.8,2.6,16.0,2.58,10.36001,94.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,2.0,5.0,6.0,3.0,5.0,2.04,8.29802,86.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,29.04,0.069984,1.0204326624240017,15.36,0.0,0.0,0.0,0.0,2.16,2.16,0.0,0.0,2.16,2.16,0.24,False
0.0,2.1616897664244084,mp-2686,166,24.11097445015957,15.666666666666664,1.6799999999999995,8.92014,43.99999999999999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,3.333333333333333,20.0,3.04,14.5341,100.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,5.0,4.0,7.0,1.0,6.11316,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,37.55555555555556,0.9248,15.758273440800002,1568.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.8888888888888888,False
1.9698,1.940945761120152,mp-1006118,2,27.221807172028058,15.77777777777778,2.4933333333333336,10.388161111111112,93.11111111111111,0.0,0.0,0.0,0.0,2.2222222222222223,3.7777777777777777,0.0,2.0,2.2222222222222223,5.777777777777779,3.0,16.0,2.58,10.48669,94.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,3.0,6.0,3.0,15.0,2.19,10.36001,90.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,5.0,3.0,0.1728395061728395,0.0262888888888889,0.0027736976987653,2.765432098765432,0.0,0.0,0.0,0.0,0.1728395061728395,0.1728395061728395,0.0,0.0,0.1728395061728395,0.1728395061728395,0.0,False
0.0,6.757001217674194,mp-980938,136,26.085922629583184,44.2,1.4243638691974485,5.912587200000001,47.6,0.0,0.0,3.0,5.4,2.0,0.4,0.0,2.0,5.0,7.8,4.8,65.0,1.61,5.985768,80.0,0.0,0.0,5.0,9.0,5.0,1.0,0.0,2.0,5.0,11.0,6.0,13.0,1.3006064486624138,5.8638,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,648.96,0.022973848706228,0.0035702863257599,699.84,0.0,0.0,6.0,19.44,6.0,0.24,0.0,0.0,0.0,15.36,2.16,False
4.8388,2.671912894191512,mp-23295,225,37.573966436782,27.0,1.99,8.572379,54.0,0.0,0.0,0.0,0.0,0.5,2.5,0.5,1.5,1.0,4.0,4.0,37.0,3.16,12.96763,99.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,1.0,7.0,5.0,17.0,0.82,4.177128,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,100.0,1.3689,19.318231353001,2025.0,0.0,0.0,0.0,0.0,0.25,6.25,0.25,0.25,0.0,9.0,1.0,False
0.0,14.302061132271668,mp-1025551,198,15.372692253737473,54.5,2.005,7.4790505,74.5,0.5,9.5,0.0,7.0,2.5,0.5,0.5,1.5,3.5,18.5,5.0,78.0,2.2,8.9588,81.0,1.0,10.0,0.0,14.0,5.0,1.0,1.0,2.0,5.0,24.0,6.0,31.0,1.81,5.999301,68.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,4.0,552.25,0.038025,2.1896585827502504,42.25,0.25,0.25,0.0,49.0,6.25,0.25,0.25,0.25,2.25,30.25,1.0,False
2.6255,4.176095578085888,mp-570219,12,35.24290239993617,38.5,2.665,10.30694,93.25,0.0,10.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,16.0,4.25,49.0,2.96,11.8138,98.0,0.0,10.0,0.0,0.0,5.0,5.0,0.0,2.0,5.0,17.0,5.0,35.0,1.78,5.78636,79.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,13.0,4.0,36.75,0.2610749999999999,6.811881178800001,67.6875,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.1875,True
3.0557,3.566924774784543,mp-560338,167,12.684899375250517,12.75,3.4,14.7587275,90.75,1.25,1.25,0.0,0.0,0.75,3.75,0.25,1.75,2.25,6.75,2.5,24.0,3.98,17.4228,102.0,5.0,5.0,0.0,0.0,1.0,5.0,1.0,2.0,6.0,7.0,4.0,9.0,1.66,6.76651,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,42.1875,1.0092,21.291846855768743,379.6875,4.6875,4.6875,0.0,0.0,0.1875,4.6875,0.1875,0.1875,4.6875,0.1875,0.75,False
